Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/11/20 14:48,Louisiana,2020-03-20,New Orleans,,,Shelter-in-place order,,,,,,"""New Orleans issued a stay-at-home order effective March 20.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:45,Montana,2020-03-20,State-wide,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"""On March 20, Governor Bullock announced measures that would close all sit-down and dine-in food services, all alcoholic beverage businesses, casinos, and other businesses that serve groups of people at one time. The closure began at 8:00 p.m. that same day and last until midnight on March 28""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana
4/13/20 12:27,Tennessee,2020-03-20,Knoxville,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"""On March 20, the mayor of Knoxville issued an executive order closing bars, gyms, and commercial event venues and restricting restaurants to delivery and take-out service.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota
4/11/20 12:05,Hawaii,2020-03-21,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""On March 21, Ige ordered a 14-day mandatory quarantine for travelers.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 12:22,Illinois,2020-03-21,State-wide,,,Shelter-in-place order,,,,,,"""On March 20, Governor Pritzker announced a statewide stay-at-home order starting on March 21 until April 7, 2020.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response
4/14/20 10:16,Mississippi,2020-03-21,Columbus,,,Night-time curfew,,,,,,"""The same day, Columbus put in a curfew from 10 pm to 6 am until further notice.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mississippi
4/14/20 14:24,New Jersey,2020-03-21,State-wide,,,Shelter-in-place order,,,,,,"""Governor Murphy announced a statewide stay-at-home order that all non-essential businesses in the state would be closed indefinitely by 9 p.m. on the 21st.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response
4/13/20 11:56,Washington,2020-03-21,Everett,,,Shelter-in-place order,,,,,,"""On March 21, the City of Everett ordered residents and business owners to stay at home ""until further notice"", except for some essential workers.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/10/20 15:13,Alaska,2020-03-22,Anchorage,,,Shelter-in-place order,,,,,,"""Mayor of Anchorage Ethan Berkowitz issued an ""emergency hunker down order"" effective March 22""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
4/11/20 11:37,Georgia,2020-03-22,Dougherty,,,Shelter-in-place order,,,,,,"""Dougherty County imposed a shelter-in-place order effective March 22 through April 7.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 12:06,Hawaii,2020-03-22,Honolulu,,,Shelter-in-place order,,,,,,"""On March 22, Honolulu County issued a stay-at-home order effective until April 30""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:29,Kansas,2020-03-22,"Johnson, Wyandotte, and Leavenworth",,,Shelter-in-place order,,,,,,"""Johnson, Wyandotte, and Leavenworth counties imposed stay-at-home orders on March 22.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:03,Michigan,2020-03-22,State-wide,,,,,,,,Some (cherry-picked) businesses closed,"""Effective March 22, Whitmer ordered closure of non-essential personal-care services, such as hair salons, and massage or tattoo services.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:15,Mississippi,2020-03-22,Tupelo and Oxford,,,Shelter-in-place order,,,,,,"""March 21 – Tupelo issued a stay-at-home order effective from March 22 through March 28."" and ""Oxford issued a stay-at-home resolution effective March 22 through April 6 at the earliest.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 10:25,Missouri,2020-03-22,"Belton, Clay, Platte, Kansas City, and Jackson",,,Shelter-in-place order,,,,,,"""Jackson, Clay, and Platte counties and Kansas City and Belton issued stay-at-home orders on March 22.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/14/20 14:37,New York,2020-03-22,State-wide,,,Shelter-in-place order,,,,,,"""Cuomo announced the statewide stay-at-home order, also known as the NYS on Pause Program, with a mandate that all non-essential workers work from home beginning at 8pm on March 22, 2020. """,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response
4/13/20 12:28,Tennessee,2020-03-22,Nashville and Davidson,,,Shelter-in-place order,,,,,,"""On March 22, Nashville's Metro Public Health Department issued a stay-at-home order effective for at least 14 days for Nashville and Davidson County.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Dakota
4/13/20 11:57,Washington,2020-03-22,Edmonds and Yakima County,,,Shelter-in-place order,,,,,,"""The city of Edmonds also issued a stay-at-home order effective March 22 until further notice."" and ""Yakima County issued a stay-at-home order effective March 22 until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/11/20 10:39,Colorado,2020-03-23,"Denver, Boulder, and Pitkin",,,Shelter-in-place order,,,,,,"""On March 23, the cities of Denver and Boulder issued a stay-at-home order effective March 24 through April 10 at the earliest, and Pitkin County issued a stay-at-home order effective immediately.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/11/20 10:56,Delaware,2020-03-23,State-wide,,,Shelter-in-place order,,,,,,"""On March 23, Governor John Carney has issued the stay-at-home order to stop the spread of COVID-19. All non-essential businesses have been ordered to close.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response
